column,dtype,n_missing,missing_ratio,n_unique,min,p01,median,p99,max
trade_date,datetime64[ns],0,0.0,485,,,,,
ticker,object,0,0.0,10,,,,,
open,float64,0,0.0,2461,1.6022,1.96207,7.93,162.45059999999987,202.0544
high,float64,0,0.0,2468,1.6294,2.0113,8.28,170.03999999999996,213.70799999999997
low,float64,0,0.0,2406,1.3963999999999999,1.89,7.6534,159.2399999999999,195.12319999999997
close,float64,0,0.0,2474,1.4627999999999999,1.94,7.9,165.93239999999992,205.09439999999998
volume,float64,0,0.0,4759,10477.32,18750.16,3701800.0,210530489.61999995,409099555.31999874
turnover,float64,0,0.0,4767,2620777.4612000003,3782760.88,69725929.0,1507506927.82,2345986423.879997
ret_1,float64,0,0.0,4373,-0.17736791942346952,-0.10659580085316882,0.0,0.1518598898505113,0.2006248643830233
ret_5,float64,0,0.0,4565,-0.40391459042972516,-0.22900127905523016,-0.0013014055179595,0.31113455004205176,0.5852544947546341
ret_20,float64,0,0.0,4665,-0.6853327880302919,-0.4016744186046512,0.0,0.7470581982778182,1.2000830055216727
vol_10,float64,0,0.0,4763,0.008783930827727023,0.010499102971873932,0.0307968068161279,0.10886155109011149,0.12260045445305014
vol_20,float64,0,0.0,4762,0.0112414503875424,0.012736753766583616,0.0338217009931227,0.0976883839590421,0.11878771284998876
sma_5,float64,0,0.0,3918,1.65756,2.0051599999999996,7.901999999999999,162.47839999999988,200.52911999999998
sma_10,float64,0,0.0,4249,1.82844,2.0325,7.839070000000001,160.65232,197.07155999999998
sma_20,float64,0,0.0,4457,1.88284,2.0796,7.891999999999999,150.82857999999993,190.13096
ema_12,float64,0,0.0,4767,1.8603565774839217,2.069629518629503,7.774226309430573,158.0368213400706,195.18907257418005
ema_26,float64,0,0.0,4767,1.9218173635301412,2.0638955790261813,7.822054638774515,147.0804775127741,189.21253183599157
ma_gap_5_20,float64,0,0.0,4764,-0.47392298716098186,-0.22924578418240082,0.0014819436861397,0.2485134523594346,0.4692907113860894
ema_gap_12_26,float64,0,0.0,4767,-0.2649877013568305,-0.13590906912584216,-0.000388421871636,0.12919443862317764,0.16592869923177717
macd,float64,0,0.0,4767,-7.5866357749488875,-2.819086480031894,-0.0027459614422142,7.003268145017584,19.190437255373652
macd_signal,float64,0,0.0,4767,-7.427306079824828,-2.608169991686718,-0.0057526401636075,7.3908797699134965,16.93091942201558
macd_hist,float64,0,0.0,4767,-3.9511481746214496,-1.1858061931804382,0.0028437910420517,1.4461033076113103,4.306366005575738
rsi,float64,0,0.0,4679,17.27322425355563,22.04535725357277,49.84846528343296,78.24029587189113,83.76428295288673
kdj_k,float64,0,0.0,4767,4.364237149664794,7.71285275159636,45.12171357467784,86.66825573136754,90.43185241446712
kdj_d,float64,0,0.0,4767,5.1875291563739285,9.771849249476537,45.21726191812245,81.9997314345301,88.70143401839297
atr,float64,0,0.0,4767,0.060096715051918874,0.07478094033468534,0.5286981996073277,11.944632424369813,14.351675685394804
pdi,float64,0,0.0,4767,7.685225301003599,8.790530070834626,23.61974443658591,47.092934801758965,50.660413030947645
mdi,float64,0,0.0,4767,2.718473482669333,5.6097644808110205,19.823968026707032,43.80266475590721,51.55195191662611
adx,float64,0,0.0,4767,7.9689061841738855,10.127286546173924,24.46622532202232,61.01032879952451,72.63137323268296
bb_mid,float64,0,0.0,4457,1.88284,2.0796,7.891999999999999,150.82857999999993,190.13096
bb_up,float64,0,0.0,4752,2.0748934535739996,2.2985563871811623,9.379046604371474,194.77731511066068,214.67115886783313
bb_dn,float64,0,0.0,4753,0.4435445469995202,1.6592479703993321,6.536581832493617,95.59773714821121,169.82198803215266
bb_bw,float64,0,0.0,4753,0.047325477021394155,0.060437310647183724,0.2142471849154635,0.9719893044575495,1.7244907673776957
bb_pb,float64,0,0.0,4767,-0.2234832261442439,-0.12130741271280343,0.499157748725779,1.2140246756598205,1.3102568533790417
obv,float64,0,0.0,4665,-289031514.65,-152048480.29999998,59021311.0,5472952479.299999,8345293653.679998
vpt,float64,0,0.0,4665,-10534424.75874137,-3360553.5410865163,5232630.111743265,534337425.3075003,664444998.5555173
mfi,float64,0,0.0,4767,10.742188856446209,15.260149470491163,54.14268855733052,86.0685192338424,90.27025091618246
cci,float64,0,0.0,4767,-255.63398269130633,-198.55959521741426,-0.0971902304379479,233.1246989494892,276.24048101458925
vwap_win,float64,0,0.0,4767,1.6698116678119093,2.0152031602702554,16.590200924896664,594.6889334304,681.5234350129346
z_close_20,float64,0,0.0,4767,-2.893932904576975,-2.485229650851213,-0.0033690050968838,2.8560987026392817,3.2410274135161665
z_turnover_20,float64,0,0.0,4767,-1.6750475294107512,-1.5516481167993077,-0.2854510748661141,3.459710839575706,3.8107733712888345
stock_name,object,0,0.0,10,,,,,
currency_code,object,0,0.0,1,,,,,
currency_name,object,0,0.0,1,,,,,
anon_id,object,0,0.0,10,,,,,
alpha_signal,float64,4847,1.0,0,,,,,
risk_score,float64,4847,1.0,0,,,,,
---,,,,,,,,,
[SUMMARY],,,,,,,,,
rows_after_clean,4847,,,,,,,,
invalid_time_or_id_rows_removed,0,,,,,,,,
duplicate_rows_removed,0,,,,,,,,
rule_bad_rows_removed,0,,,,,,,,
unique_anon_id,10,,,,,,,,
