ticker,trade_date,ret_1_L1_z60,ret_5_L1_z60,ret_20_L1_z60,vol_10_L1_z60,vol_20_L1_z60,sma_5_L1_z60,sma_10_L1_z60,sma_20_L1_z60,ema_12_L1_z60,ema_26_L1_z60,ma_gap_5_20_L1_z60,ema_gap_12_26_L1_z60,macd_L1_z60,macd_signal_L1_z60,macd_hist_L1_z60,rsi_L1_z60,kdj_k_L1_z60,kdj_d_L1_z60,atr_L1_z60,pdi_L1_z60,mdi_L1_z60,adx_L1_z60,bb_mid_L1_z60,bb_up_L1_z60,bb_dn_L1_z60,bb_bw_L1_z60,bb_pb_L1_z60,obv_L1_z60,vpt_L1_z60,mfi_L1_z60,cci_L1_z60,vwap_win_L1_z60,z_close_20_L1_z60,z_turnover_20_L1_z60,range_hl_L1_z60,gap_oc_L1_z60,log_turn_L1_z60,rv_20_L1_z60,ret_1_L1_z120,ret_5_L1_z120,ret_20_L1_z120,vol_10_L1_z120,vol_20_L1_z120,sma_5_L1_z120,sma_10_L1_z120,sma_20_L1_z120,ema_12_L1_z120,ema_26_L1_z120,ma_gap_5_20_L1_z120,ema_gap_12_26_L1_z120,macd_L1_z120,macd_signal_L1_z120,macd_hist_L1_z120,rsi_L1_z120,kdj_k_L1_z120,kdj_d_L1_z120,atr_L1_z120,pdi_L1_z120,mdi_L1_z120,adx_L1_z120,bb_mid_L1_z120,bb_up_L1_z120,bb_dn_L1_z120,bb_bw_L1_z120,bb_pb_L1_z120,obv_L1_z120,vpt_L1_z120,mfi_L1_z120,cci_L1_z120,vwap_win_L1_z120,z_close_20_L1_z120,z_turnover_20_L1_z120,range_hl_L1_z120,gap_oc_L1_z120,log_turn_L1_z120,rv_20_L1_z120,y_ret_k,y_up_k,y_vol_k
300086.SZ,2024/2/6,-2.5456089,-2.253114756,-2.564340758,2.384608036,2.569283012,-2.80493338,-2.410834255,-1.98116161,-2.521150739,-2.259497513,-2.361042408,-3.315523377,-2.993628555,-2.570186726,-2.150927932,-1.2834278,-1.155675496,-0.925697052,2.42070736,0.05063176,1.908199399,0.006331205,-1.98116161,-0.232119299,-2.832066428,2.73947706,-1.318169632,-1.538927085,-3.203259168,-0.475763375,-1.74344895,-3.236061114,-1.318169632,0.144798749,2.633938891,-0.0372005,0.310056258,-0.05293136,-2.5456089,-2.253114756,-2.564340758,2.384608036,2.569283012,-2.80493338,-2.410834255,-1.98116161,-2.521150739,-2.259497513,-2.361042408,-3.315523377,-2.993628555,-2.570186726,-2.150927932,-1.2834278,-1.155675496,-0.925697052,2.42070736,0.05063176,1.908199399,0.006331205,-1.98116161,-0.232119299,-2.832066428,2.73947706,-1.318169632,-1.538927085,-3.203259168,-0.475763375,-1.74344895,-3.236061114,-1.318169632,0.144798749,2.633938891,-0.0372005,0.310056258,-0.05293136,-0.014354067,0,0.221813394
300086.SZ,2024/2/7,1.659425868,-1.709278418,-2.307817481,2.347593228,2.462766531,-2.748918945,-2.394049003,-2.058968607,-2.521943244,-2.295479546,-2.152279397,-2.830348914,-2.616388001,-2.758600714,-2.028522208,-0.953822657,-0.961398521,-0.993078913,2.417273567,-0.316329351,1.614926688,0.348435623,-2.058968607,-0.229434156,-2.776107334,2.755604815,-0.501264788,-1.465114549,-2.35327182,-0.504502972,-1.290195892,-3.172784555,-0.501264788,-0.029807182,2.012865443,-0.310789572,-0.080139195,-0.203261681,1.659425868,-1.709278418,-2.307817481,2.347593228,2.462766531,-2.748918945,-2.394049003,-2.058968607,-2.521943244,-2.295479546,-2.152279397,-2.830348914,-2.616388001,-2.758600714,-2.028522208,-0.953822657,-0.961398521,-0.993078913,2.417273567,-0.316329351,1.614926688,0.348435623,-2.058968607,-0.229434156,-2.776107334,2.755604815,-0.501264788,-1.465114549,-2.35327182,-0.504502972,-1.290195892,-3.172784555,-0.501264788,-0.029807182,2.012865443,-0.310789572,-0.080139195,-0.203261681,0.084951456,1,0.221740858
300086.SZ,2024/2/8,-0.142671167,-1.374091303,-2.115771737,2.10271966,2.197898293,-2.659394514,-2.403255145,-2.133279261,-2.4938001,-2.309771263,-1.990827386,-2.510476071,-2.353593344,-2.834499444,-1.817084527,-1.036799163,-0.880985378,-1.00422761,2.081521842,-0.424365656,1.200247438,0.647890658,-2.133279261,-0.329834252,-2.687510114,2.671632082,-0.347918439,-1.401069717,-2.253661147,-0.12926092,-0.657963623,-3.003075812,-0.347918439,-0.066892528,0.169282279,1.00333247,-0.296105262,-0.371062785,-0.142671167,-1.374091303,-2.115771737,2.10271966,2.197898293,-2.659394514,-2.403255145,-2.133279261,-2.4938001,-2.309771263,-1.990827386,-2.510476071,-2.353593344,-2.834499444,-1.817084527,-1.036799163,-0.880985378,-1.00422761,2.081521842,-0.424365656,1.200247438,0.647890658,-2.133279261,-0.329834252,-2.687510114,2.671632082,-0.347918439,-1.401069717,-2.253661147,-0.12926092,-0.657963623,-3.003075812,-0.347918439,-0.066892528,0.169282279,1.00333247,-0.296105262,-0.371062785,0.020134228,1,0.236200657
300086.SZ,2024/2/19,2.40142648,-0.112051477,-1.73536302,2.237209575,2.376572404,-2.470728045,-2.363908438,-2.147220933,-2.329504347,-2.237012685,-1.861149681,-2.279476021,-2.157062106,-2.525978986,-0.95884585,0.52786087,-0.249401807,-0.754175826,1.982759571,0.053198257,0.616111132,0.624853545,-2.147220933,-0.61016099,-2.476168391,2.365062251,0.502189198,-1.344809813,-1.381739459,0.190831831,0.009169718,-2.745114057,0.502189198,0.061262267,0.913350035,0.342172568,0.002668391,-0.512510763,2.40142648,-0.112051477,-1.73536302,2.237209575,2.376572404,-2.470728045,-2.363908438,-2.147220933,-2.329504347,-2.237012685,-1.861149681,-2.279476021,-2.157062106,-2.525978986,-0.95884585,0.52786087,-0.249401807,-0.754175826,1.982759571,0.053198257,0.616111132,0.624853545,-2.147220933,-0.61016099,-2.476168391,2.365062251,0.502189198,-1.344809813,-1.381739459,0.190831831,0.009169718,-2.745114057,0.502189198,0.061262267,0.913350035,0.342172568,0.002668391,-0.512510763,0.019736842,1,0.236138738
300086.SZ,2024/2/20,0.689097365,0.94227297,-1.197736969,1.743406058,2.209219223,-2.235296847,-2.396494847,-2.130274959,-2.167826572,-2.154440357,-1.754025728,-2.102594638,-2.002935008,-2.297155259,-0.116575327,0.874775844,0.657218253,-0.215795684,1.630009394,0.282791446,0.433314195,0.481414922,-2.130274959,-0.874583929,-2.292953699,2.103718058,0.783291926,-1.01301618,-1.195144975,0.513437604,0.528786767,-2.504008419,0.783291926,-0.079539131,-0.678972882,1.867929101,-0.439974508,-0.630220953,0.689097365,0.94227297,-1.197736969,1.743406058,2.209219223,-2.235296847,-2.396494847,-2.130274959,-2.167826572,-2.154440357,-1.754025728,-2.102594638,-2.002935008,-2.297155259,-0.116575327,0.874775844,0.657218253,-0.215795684,1.630009394,0.282791446,0.433314195,0.481414922,-2.130274959,-0.874583929,-2.292953699,2.103718058,0.783291926,-1.01301618,-1.195144975,0.513437604,0.528786767,-2.504008419,0.783291926,-0.079539131,-0.678972882,1.867929101,-0.439974508,-0.630220953,0.006451613,1,0.236889035
300086.SZ,2024/2/21,0.665732335,3.024870744,-0.991917209,1.424288915,2.069878778,-1.859113811,-2.29560156,-2.107388924,-2.010536183,-2.066559761,-1.342602139,-1.961541157,-1.872254609,-2.121228514,0.685188699,1.20360221,1.423659312,0.480912992,1.561037646,0.655445141,-0.041503082,0.108939776,-2.107388924,-1.19044473,-2.110706408,1.811871777,1.050984674,-0.51636096,-1.011315357,0.825376777,0.794851272,-2.116713917,1.050984674,-0.004661762,0.556171243,-0.496537285,-0.188292884,-0.741335037,0.665732335,3.024870744,-0.991917209,1.424288915,2.069878778,-1.859113811,-2.29560156,-2.107388924,-2.010536183,-2.066559761,-1.342602139,-1.961541157,-1.872254609,-2.121228514,0.685188699,1.20360221,1.423659312,0.480912992,1.561037646,0.655445141,-0.041503082,0.108939776,-2.107388924,-1.19044473,-2.110706408,1.811871777,1.050984674,-0.51636096,-1.011315357,0.825376777,0.794851272,-2.116713917,1.050984674,-0.004661762,0.556171243,-0.496537285,-0.188292884,-0.741335037,0.017094017,1,0.236816991
300086.SZ,2024/2/22,0.308138137,2.133988012,-0.783932497,1.266050166,1.944847289,-1.596967419,-2.159294217,-2.078372972,-1.874670908,-1.985541674,-0.492700972,-1.564295125,-1.423580918,-1.980527032,1.293629208,1.282767972,2.211898797,1.322934057,1.396340366,0.505201996,-0.354397083,-0.263903741,-2.078372972,-1.492843133,-1.946508121,1.52918154,1.180137058,0.013705245,-0.933379496,0.874851813,0.986052151,-1.744271807,1.180137058,0.04702115,-0.028832145,-0.473588446,-0.01413358,-0.840881686,0.308138137,2.133988012,-0.783932497,1.266050166,1.944847289,-1.596967419,-2.159294217,-2.078372972,-1.874670908,-1.985541674,-0.492700972,-1.564295125,-1.423580918,-1.980527032,1.293629208,1.282767972,2.211898797,1.322934057,1.396340366,0.505201996,-0.354397083,-0.263903741,-2.078372972,-1.492843133,-1.946508121,1.52918154,1.180137058,0.013705245,-0.933379496,0.874851813,0.986052151,-1.744271807,1.180137058,0.04702115,-0.028832145,-0.473588446,-0.01413358,-0.840881686,0.016806723,1,0.23550481
300086.SZ,2024/2/23,0.584634303,2.396321459,-0.164254664,1.191264835,1.837640742,-1.319739993,-2.008811072,-2.028121626,-1.740575122,-1.902216578,0.462880261,-1.150473762,-0.969800956,-1.86467309,1.784032423,1.550684428,2.668445233,2.09944915,1.169926548,0.356308564,-0.552036882,-0.607288126,-2.028121626,-1.691286678,-1.811218691,1.3070984,1.420958656,0.523804923,-0.777253918,0.904348568,1.14031235,-1.484710112,1.420958656,0.010646492,-0.500277755,-0.27068258,-0.078583694,-0.908345578,0.584634303,2.396321459,-0.164254664,1.191264835,1.837640742,-1.319739993,-2.008811072,-2.028121626,-1.740575122,-1.902216578,0.462880261,-1.150473762,-0.969800956,-1.86467309,1.784032423,1.550684428,2.668445233,2.09944915,1.169926548,0.356308564,-0.552036882,-0.607288126,-2.028121626,-1.691286678,-1.811218691,1.3070984,1.420958656,0.523804923,-0.777253918,0.904348568,1.14031235,-1.484710112,1.420958656,0.010646492,-0.500277755,-0.27068258,-0.078583694,-0.908345578,0.016528926,1,0.235246692
300086.SZ,2024/2/26,0.567579156,1.396509281,0.338939432,1.163943304,1.75205186,-1.154196676,-1.869674171,-1.967467963,-1.608330382,-1.8175632,1.047460562,-0.72502299,-0.501590387,-1.724059292,2.129610819,1.78318139,2.82412199,2.636865363,0.981383458,0.443704621,-0.759355149,-1.006053091,-1.967467963,-1.816064787,-1.694495326,1.121093921,1.645113224,1.15917484,-0.590112751,-0.1646144,1.283117244,-1.26242914,1.645113224,0.230264316,-0.451204588,-0.066652231,0.4675208,-0.951947919,0.567579156,1.396509281,0.338939432,1.163943304,1.75205186,-1.154196676,-1.869674171,-1.967467963,-1.608330382,-1.8175632,1.047460562,-0.72502299,-0.501590387,-1.724059292,2.129610819,1.78318139,2.82412199,2.636865363,0.981383458,0.443704621,-0.759355149,-1.006053091,-1.967467963,-1.816064787,-1.694495326,1.121093921,1.645113224,1.15917484,-0.590112751,-0.1646144,1.283117244,-1.26242914,1.645113224,0.230264316,-0.451204588,-0.066652231,0.4675208,-0.951947919,0.034552846,1,0.23493406
300086.SZ,2024/2/27,0.551327071,1.302969867,0.855474503,1.009796578,1.674003018,-1.002407688,-1.703530623,-1.898500312,-1.477617659,-1.732059674,1.532510243,-0.285078225,-0.017375173,-1.396090953,2.33762271,1.976066368,2.690326393,2.857286166,0.877702627,0.964628656,-1.033634775,-1.381096946,-1.898500312,-1.867171786,-1.597442016,0.980697368,1.838818954,1.739645578,-0.407379826,1.126994331,1.52228876,-1.102044788,1.838818954,0.230036876,-0.126469477,0.130774576,0.53594457,-0.972584706,0.551327071,1.302969867,0.855474503,1.009796578,1.674003018,-1.002407688,-1.703530623,-1.898500312,-1.477617659,-1.732059674,1.532510243,-0.285078225,-0.017375173,-1.396090953,2.33762271,1.976066368,2.690326393,2.857286166,0.877702627,0.964628656,-1.033634775,-1.381096946,-1.898500312,-1.867171786,-1.597442016,0.980697368,1.838818954,1.739645578,-0.407379826,1.126994331,1.52228876,-1.102044788,1.838818954,0.230036876,-0.126469477,0.130774576,0.53594457,-0.972584706,-0.078585462,0,0.228645567
