ticker,trade_date,alpha_score
300086.SZ,2024-02-06,0.0
300189.SZ,2024-02-06,0.0
300236.SZ,2024-02-06,0.0
300321.SZ,2024-02-06,0.0
300344.SZ,2024-02-06,0.0
300391.SZ,2024-02-06,0.0
688125.SH,2024-02-06,0.0
688627.SH,2024-02-06,0.0
688679.SH,2024-02-06,0.0
920023.SH,2024-02-06,0.0
300086.SZ,2024-02-07,0.0
300189.SZ,2024-02-07,0.0
300236.SZ,2024-02-07,0.0
300321.SZ,2024-02-07,0.0
300344.SZ,2024-02-07,0.0
300391.SZ,2024-02-07,0.0
688125.SH,2024-02-07,0.0
688627.SH,2024-02-07,0.0
688679.SH,2024-02-07,0.0
920023.SH,2024-02-07,0.0
300086.SZ,2024-02-08,0.0
300189.SZ,2024-02-08,0.0
300236.SZ,2024-02-08,0.0
300321.SZ,2024-02-08,0.0
300344.SZ,2024-02-08,0.0
300391.SZ,2024-02-08,0.0
688125.SH,2024-02-08,0.0
688627.SH,2024-02-08,0.0
688679.SH,2024-02-08,0.0
920023.SH,2024-02-08,0.0
300086.SZ,2024-02-19,0.0
300189.SZ,2024-02-19,0.0
300236.SZ,2024-02-19,0.0
300321.SZ,2024-02-19,0.0
300344.SZ,2024-02-19,0.0
300391.SZ,2024-02-19,0.0
688125.SH,2024-02-19,0.0
688627.SH,2024-02-19,0.0
688679.SH,2024-02-19,0.0
920023.SH,2024-02-19,0.0
300086.SZ,2024-02-20,0.0
300189.SZ,2024-02-20,0.0
300236.SZ,2024-02-20,0.0
300321.SZ,2024-02-20,0.0
300344.SZ,2024-02-20,0.0
300391.SZ,2024-02-20,0.0
688125.SH,2024-02-20,0.0
688627.SH,2024-02-20,0.0
688679.SH,2024-02-20,0.0
920023.SH,2024-02-20,0.0
300086.SZ,2024-02-21,0.0
300189.SZ,2024-02-21,0.0
300236.SZ,2024-02-21,0.0
300321.SZ,2024-02-21,0.0
300344.SZ,2024-02-21,0.0
300391.SZ,2024-02-21,0.0
688125.SH,2024-02-21,0.0
688627.SH,2024-02-21,0.0
688679.SH,2024-02-21,0.0
920023.SH,2024-02-21,0.0
300086.SZ,2024-02-22,0.0
300189.SZ,2024-02-22,0.0
300236.SZ,2024-02-22,0.0
300321.SZ,2024-02-22,0.0
300344.SZ,2024-02-22,0.0
300391.SZ,2024-02-22,0.0
688125.SH,2024-02-22,0.0
688627.SH,2024-02-22,0.0
688679.SH,2024-02-22,0.0
920023.SH,2024-02-22,0.0
300086.SZ,2024-02-23,0.0
300189.SZ,2024-02-23,0.0
300236.SZ,2024-02-23,0.0
300321.SZ,2024-02-23,0.0
300344.SZ,2024-02-23,0.0
300391.SZ,2024-02-23,0.0
688125.SH,2024-02-23,0.0
688627.SH,2024-02-23,0.0
688679.SH,2024-02-23,0.0
920023.SH,2024-02-23,0.0
300086.SZ,2024-02-26,0.0
300189.SZ,2024-02-26,0.0
300236.SZ,2024-02-26,0.0
300321.SZ,2024-02-26,0.0
300344.SZ,2024-02-26,0.0
300391.SZ,2024-02-26,0.0
688125.SH,2024-02-26,0.0
688627.SH,2024-02-26,0.0
688679.SH,2024-02-26,0.0
920023.SH,2024-02-26,0.0
300086.SZ,2024-02-27,0.0
300189.SZ,2024-02-27,0.0
300236.SZ,2024-02-27,0.0
300321.SZ,2024-02-27,0.0
300344.SZ,2024-02-27,0.0
300391.SZ,2024-02-27,0.0
688125.SH,2024-02-27,0.0
688627.SH,2024-02-27,0.0
688679.SH,2024-02-27,0.0
920023.SH,2024-02-27,0.0
300086.SZ,2024-02-28,0.0
300189.SZ,2024-02-28,0.0
300236.SZ,2024-02-28,0.0
300321.SZ,2024-02-28,0.0
300344.SZ,2024-02-28,0.0
300391.SZ,2024-02-28,0.0
688125.SH,2024-02-28,0.0
688627.SH,2024-02-28,0.0
688679.SH,2024-02-28,0.0
920023.SH,2024-02-28,0.0
300086.SZ,2024-02-29,0.0
300189.SZ,2024-02-29,0.0
300236.SZ,2024-02-29,0.0
300321.SZ,2024-02-29,0.0
300344.SZ,2024-02-29,0.0
300391.SZ,2024-02-29,0.0
688125.SH,2024-02-29,0.0
688627.SH,2024-02-29,0.0
688679.SH,2024-02-29,0.0
920023.SH,2024-02-29,0.0
300086.SZ,2024-03-01,0.0
300189.SZ,2024-03-01,0.0
300236.SZ,2024-03-01,0.0
300321.SZ,2024-03-01,0.0
300344.SZ,2024-03-01,0.0
300391.SZ,2024-03-01,0.0
688125.SH,2024-03-01,0.0
688627.SH,2024-03-01,0.0
688679.SH,2024-03-01,0.0
920023.SH,2024-03-01,0.0
300086.SZ,2024-03-04,0.0
300189.SZ,2024-03-04,0.0
300236.SZ,2024-03-04,0.0
300321.SZ,2024-03-04,0.0
300344.SZ,2024-03-04,0.0
300391.SZ,2024-03-04,0.0
688125.SH,2024-03-04,0.0
688627.SH,2024-03-04,0.0
688679.SH,2024-03-04,0.0
920023.SH,2024-03-04,0.0
300086.SZ,2024-03-05,0.0
300189.SZ,2024-03-05,0.0
300236.SZ,2024-03-05,0.0
300321.SZ,2024-03-05,0.0
300344.SZ,2024-03-05,0.0
300391.SZ,2024-03-05,0.0
688125.SH,2024-03-05,0.0
688627.SH,2024-03-05,0.0
688679.SH,2024-03-05,0.0
920023.SH,2024-03-05,0.0
300086.SZ,2024-03-06,0.0
300189.SZ,2024-03-06,0.0
300236.SZ,2024-03-06,0.0
300321.SZ,2024-03-06,0.0
300344.SZ,2024-03-06,0.0
300391.SZ,2024-03-06,0.0
688125.SH,2024-03-06,0.0
688627.SH,2024-03-06,0.0
688679.SH,2024-03-06,0.0
920023.SH,2024-03-06,0.0
300086.SZ,2024-03-07,0.0
300189.SZ,2024-03-07,0.0
300236.SZ,2024-03-07,0.0
300321.SZ,2024-03-07,0.0
300344.SZ,2024-03-07,0.0
300391.SZ,2024-03-07,0.0
688125.SH,2024-03-07,0.0
688627.SH,2024-03-07,0.0
688679.SH,2024-03-07,0.0
920023.SH,2024-03-07,0.0
300086.SZ,2024-03-08,0.0
300189.SZ,2024-03-08,0.0
300236.SZ,2024-03-08,0.0
300321.SZ,2024-03-08,0.0
300344.SZ,2024-03-08,0.0
300391.SZ,2024-03-08,0.0
688125.SH,2024-03-08,0.0
688627.SH,2024-03-08,0.0
688679.SH,2024-03-08,0.0
920023.SH,2024-03-08,0.0
300086.SZ,2024-03-11,0.0
300189.SZ,2024-03-11,0.0
300236.SZ,2024-03-11,0.0
300321.SZ,2024-03-11,0.0
300344.SZ,2024-03-11,0.0
300391.SZ,2024-03-11,0.0
688125.SH,2024-03-11,0.0
688627.SH,2024-03-11,0.0
688679.SH,2024-03-11,0.0
920023.SH,2024-03-11,0.0
300086.SZ,2024-03-12,0.0
300189.SZ,2024-03-12,0.0
300236.SZ,2024-03-12,0.0
300321.SZ,2024-03-12,0.0
300344.SZ,2024-03-12,0.0
300391.SZ,2024-03-12,0.0
688125.SH,2024-03-12,0.0
688627.SH,2024-03-12,0.0
688679.SH,2024-03-12,0.0
920023.SH,2024-03-12,0.0
300086.SZ,2024-03-13,0.0
300189.SZ,2024-03-13,0.0
300236.SZ,2024-03-13,0.0
300321.SZ,2024-03-13,0.0
300344.SZ,2024-03-13,0.0
300391.SZ,2024-03-13,0.0
688125.SH,2024-03-13,0.0
688627.SH,2024-03-13,0.0
688679.SH,2024-03-13,0.0
920023.SH,2024-03-13,0.0
300086.SZ,2024-03-14,0.0
300189.SZ,2024-03-14,0.0
300236.SZ,2024-03-14,0.0
300321.SZ,2024-03-14,0.0
300344.SZ,2024-03-14,0.0
300391.SZ,2024-03-14,0.0
688125.SH,2024-03-14,0.0
688627.SH,2024-03-14,0.0
688679.SH,2024-03-14,0.0
920023.SH,2024-03-14,0.0
300086.SZ,2024-03-15,0.0
300189.SZ,2024-03-15,0.0
300236.SZ,2024-03-15,0.0
300321.SZ,2024-03-15,0.0
300344.SZ,2024-03-15,0.0
300391.SZ,2024-03-15,0.0
688125.SH,2024-03-15,0.0
688627.SH,2024-03-15,0.0
688679.SH,2024-03-15,0.0
920023.SH,2024-03-15,0.0
300086.SZ,2024-03-18,0.0
300189.SZ,2024-03-18,0.0
300236.SZ,2024-03-18,0.0
300321.SZ,2024-03-18,0.0
300344.SZ,2024-03-18,0.0
300391.SZ,2024-03-18,0.0
688125.SH,2024-03-18,0.0
688627.SH,2024-03-18,0.0
688679.SH,2024-03-18,0.0
920023.SH,2024-03-18,0.0
300086.SZ,2024-03-19,0.0
300189.SZ,2024-03-19,0.0
300236.SZ,2024-03-19,0.0
300321.SZ,2024-03-19,0.0
300344.SZ,2024-03-19,0.0
300391.SZ,2024-03-19,0.0
688125.SH,2024-03-19,0.0
688627.SH,2024-03-19,0.0
688679.SH,2024-03-19,0.0
920023.SH,2024-03-19,0.0
300086.SZ,2024-03-20,0.0
300189.SZ,2024-03-20,0.0
300236.SZ,2024-03-20,0.0
300321.SZ,2024-03-20,0.0
300344.SZ,2024-03-20,0.0
300391.SZ,2024-03-20,0.0
688125.SH,2024-03-20,0.0
688627.SH,2024-03-20,0.0
688679.SH,2024-03-20,0.0
920023.SH,2024-03-20,0.0
300086.SZ,2024-03-21,0.0
300189.SZ,2024-03-21,0.0
300236.SZ,2024-03-21,0.0
300321.SZ,2024-03-21,0.0
300344.SZ,2024-03-21,0.0
300391.SZ,2024-03-21,0.0
688125.SH,2024-03-21,0.0
688627.SH,2024-03-21,0.0
688679.SH,2024-03-21,0.0
920023.SH,2024-03-21,0.0
300086.SZ,2024-03-22,0.0
300189.SZ,2024-03-22,0.0
300236.SZ,2024-03-22,0.0
300321.SZ,2024-03-22,0.0
300344.SZ,2024-03-22,0.0
300391.SZ,2024-03-22,0.0
688125.SH,2024-03-22,0.0
688627.SH,2024-03-22,0.0
688679.SH,2024-03-22,0.0
920023.SH,2024-03-22,0.0
300086.SZ,2024-03-25,0.0
300189.SZ,2024-03-25,0.0
300236.SZ,2024-03-25,0.0
300321.SZ,2024-03-25,0.0
300344.SZ,2024-03-25,0.0
300391.SZ,2024-03-25,0.0
688125.SH,2024-03-25,0.0
688627.SH,2024-03-25,0.0
688679.SH,2024-03-25,0.0
920023.SH,2024-03-25,0.0
300086.SZ,2024-03-26,0.0
300189.SZ,2024-03-26,0.0
300236.SZ,2024-03-26,0.0
300321.SZ,2024-03-26,0.0
300344.SZ,2024-03-26,0.0
300391.SZ,2024-03-26,0.0
688125.SH,2024-03-26,0.0
688627.SH,2024-03-26,0.0
688679.SH,2024-03-26,0.0
920023.SH,2024-03-26,0.0
300086.SZ,2024-03-27,0.0
300189.SZ,2024-03-27,0.0
300236.SZ,2024-03-27,0.0
300321.SZ,2024-03-27,0.0
300344.SZ,2024-03-27,0.0
300391.SZ,2024-03-27,0.0
688125.SH,2024-03-27,0.0
688627.SH,2024-03-27,0.0
688679.SH,2024-03-27,0.0
920023.SH,2024-03-27,0.0
300086.SZ,2024-03-28,0.0
300189.SZ,2024-03-28,0.0
300236.SZ,2024-03-28,0.0
300321.SZ,2024-03-28,0.0
300344.SZ,2024-03-28,0.0
300391.SZ,2024-03-28,0.0
688125.SH,2024-03-28,0.0
688627.SH,2024-03-28,0.0
688679.SH,2024-03-28,0.0
920023.SH,2024-03-28,0.0
300086.SZ,2024-03-29,0.0
300189.SZ,2024-03-29,0.0
300236.SZ,2024-03-29,0.0
300321.SZ,2024-03-29,0.0
300344.SZ,2024-03-29,0.0
300391.SZ,2024-03-29,0.0
